Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
108,0,0,infinite,1.3465,2.2445,498.39,12.472,20.786,193.56,undefined,8.8056,0.0068727,vapor
108,0.58226,0.73345,1.3634,1.1509,1.9448,117.22,14.344,27.619,182.37,21.795,9.1867,0.0075919,vapor
108,0.58226,31.48,0.031766,-3.7564,-3.7379,64.603,19.128,48.006,685.24,-0.23427,148.44,0.098464,liquid
108,1,31.535,0.03171,-3.7649,-3.7332,64.524,19.145,47.786,688.88,-0.2401,149.51,0.098905,liquid
108,2,31.665,0.031581,-3.7846,-3.7215,64.339,19.186,47.292,697.31,-0.25334,152.03,0.099942,liquid
108,3,31.789,0.031457,-3.8036,-3.7093,64.161,19.23,46.839,705.39,-0.26563,154.49,0.10095,liquid
108,4,31.91,0.031338,-3.8219,-3.6966,63.987,19.274,46.421,713.14,-0.2771,156.92,0.10194,liquid
108,5,32.026,0.031224,-3.8397,-3.6835,63.818,19.32,46.034,720.61,-0.28782,159.3,0.10291,liquid
108,6,32.14,0.031114,-3.8568,-3.6701,63.654,19.365,45.674,727.83,-0.29788,161.65,0.10386,liquid
108,7,32.249,0.031008,-3.8734,-3.6563,63.494,19.412,45.339,734.81,-0.30733,163.96,0.10479,liquid
108,8,32.356,0.030906,-3.8895,-3.6422,63.338,19.458,45.025,741.58,-0.31623,166.24,0.1057,liquid
108,9,32.46,0.030807,-3.9051,-3.6279,63.185,19.504,44.731,748.15,-0.32464,168.49,0.10659,liquid
108,10,32.561,0.030711,-3.9203,-3.6132,63.036,19.55,44.455,754.55,-0.33259,170.71,0.10747,liquid
108,11,32.66,0.030618,-3.9351,-3.5983,62.89,19.596,44.196,760.78,-0.34012,172.91,0.10834,liquid
108,12,32.757,0.030528,-3.9495,-3.5832,62.748,19.642,43.95,766.85,-0.34726,175.08,0.10919,liquid
108,13,32.851,0.030441,-3.9635,-3.5678,62.608,19.687,43.719,772.79,-0.35405,177.22,0.11002,liquid
108,14,32.943,0.030356,-3.9772,-3.5522,62.47,19.732,43.5,778.59,-0.36051,179.34,0.11084,liquid
108,15,33.033,0.030273,-3.9905,-3.5364,62.336,19.777,43.292,784.26,-0.36666,181.44,0.11164,liquid
108,16,33.121,0.030192,-4.0035,-3.5205,62.204,19.822,43.094,789.81,-0.37253,183.52,0.11243,liquid
108,17,33.207,0.030114,-4.0163,-3.5043,62.074,19.865,42.906,795.26,-0.37814,185.59,0.11323,liquid
108,18,33.292,0.030037,-4.0287,-3.488,61.946,19.909,42.728,800.6,-0.38349,187.63,0.11402,liquid
108,19,33.375,0.029963,-4.0408,-3.4715,61.821,19.952,42.557,805.84,-0.38862,189.65,0.11479,liquid
108,20,33.456,0.02989,-4.0527,-3.4549,61.698,19.995,42.394,810.98,-0.39353,191.66,0.11556,liquid
108,21,33.536,0.029818,-4.0644,-3.4382,61.577,20.037,42.239,816.04,-0.39823,193.65,0.11631,liquid
108,22,33.615,0.029749,-4.0758,-3.4213,61.457,20.079,42.09,821.01,-0.40274,195.63,0.11706,liquid
108,23,33.692,0.029681,-4.0869,-3.4043,61.34,20.121,41.948,825.9,-0.40708,197.59,0.1178,liquid
108,24,33.768,0.029614,-4.0979,-3.3871,61.224,20.162,41.811,830.71,-0.41124,199.54,0.11853,liquid
108,25,33.843,0.029549,-4.1086,-3.3699,61.11,20.203,41.68,835.45,-0.41524,201.47,0.11925,liquid
108,26,33.916,0.029485,-4.1191,-3.3525,60.997,20.243,41.554,840.11,-0.41909,203.39,0.11996,liquid
108,27,33.988,0.029422,-4.1295,-3.3351,60.886,20.283,41.433,844.71,-0.4228,205.3,0.12067,liquid
108,28,34.059,0.029361,-4.1396,-3.3175,60.776,20.323,41.317,849.24,-0.42637,207.19,0.12137,liquid
108,29,34.129,0.0293,-4.1495,-3.2998,60.668,20.362,41.205,853.7,-0.42981,209.08,0.12206,liquid
108,30,34.198,0.029241,-4.1593,-3.2821,60.562,20.401,41.098,858.11,-0.43313,210.95,0.12274,liquid
108,31,34.266,0.029183,-4.1689,-3.2642,60.457,20.44,40.994,862.46,-0.43633,212.81,0.12342,liquid
108,32,34.333,0.029126,-4.1783,-3.2463,60.353,20.478,40.894,866.75,-0.43942,214.66,0.12409,liquid
108,33,34.399,0.02907,-4.1876,-3.2283,60.25,20.516,40.797,870.98,-0.44241,216.5,0.12475,liquid
108,34,34.465,0.029015,-4.1967,-3.2102,60.149,20.554,40.704,875.16,-0.4453,218.32,0.12541,liquid
108,35,34.529,0.028961,-4.2057,-3.192,60.048,20.591,40.614,879.29,-0.44808,220.14,0.12606,liquid
108,36,34.592,0.028908,-4.2145,-3.1738,59.949,20.628,40.527,883.38,-0.45078,221.95,0.12671,liquid
108,37,34.655,0.028856,-4.2232,-3.1555,59.851,20.665,40.443,887.41,-0.45339,223.75,0.12735,liquid
108,38,34.717,0.028805,-4.2317,-3.1371,59.754,20.701,40.362,891.39,-0.45592,225.54,0.12798,liquid
108,39,34.778,0.028754,-4.2401,-3.1187,59.659,20.737,40.283,895.34,-0.45837,227.33,0.12861,liquid
108,40,34.838,0.028704,-4.2484,-3.1002,59.564,20.773,40.207,899.23,-0.46074,229.1,0.12924,liquid
108,41,34.898,0.028655,-4.2565,-3.0817,59.47,20.809,40.133,903.09,-0.46303,230.87,0.12986,liquid
108,42,34.957,0.028607,-4.2645,-3.063,59.377,20.844,40.062,906.9,-0.46526,232.62,0.13047,liquid
108,43,35.015,0.028559,-4.2724,-3.0444,59.286,20.88,39.993,910.67,-0.46742,234.37,0.13108,liquid
108,44,35.072,0.028513,-4.2802,-3.0257,59.195,20.914,39.925,914.4,-0.46951,236.11,0.13168,liquid
108,45,35.129,0.028467,-4.2879,-3.0069,59.105,20.949,39.86,918.1,-0.47154,237.85,0.13228,liquid
108,46,35.185,0.028421,-4.2954,-2.9881,59.016,20.984,39.797,921.75,-0.47352,239.58,0.13288,liquid
108,47,35.241,0.028376,-4.3029,-2.9692,58.927,21.018,39.736,925.37,-0.47543,241.3,0.13347,liquid
108,48,35.296,0.028332,-4.3102,-2.9503,58.84,21.052,39.676,928.96,-0.47729,243.01,0.13405,liquid
108,49,35.35,0.028288,-4.3175,-2.9313,58.753,21.085,39.618,932.51,-0.47909,244.72,0.13464,liquid
108,50,35.404,0.028245,-4.3246,-2.9123,58.668,21.119,39.562,936.02,-0.48085,246.42,0.13521,liquid
108,51,35.457,0.028203,-4.3316,-2.8933,58.582,21.152,39.507,939.51,-0.48255,248.11,0.13579,liquid
108,52,35.51,0.028161,-4.3386,-2.8742,58.498,21.185,39.454,942.96,-0.48421,249.8,0.13636,liquid
108,53,35.562,0.02812,-4.3454,-2.8551,58.415,21.218,39.402,946.38,-0.48582,251.48,0.13692,liquid
108,54,35.614,0.028079,-4.3522,-2.8359,58.332,21.251,39.352,949.77,-0.48739,253.15,0.13748,liquid
108,55,35.665,0.028039,-4.3589,-2.8167,58.25,21.284,39.303,953.12,-0.48891,254.82,0.13804,liquid
108,56,35.715,0.027999,-4.3654,-2.7975,58.169,21.316,39.255,956.45,-0.49039,256.49,0.13859,liquid
108,57,35.766,0.02796,-4.3719,-2.7782,58.088,21.348,39.209,959.75,-0.49184,258.14,0.13914,liquid
108,58,35.815,0.027921,-4.3783,-2.7589,58.008,21.38,39.164,963.02,-0.49324,259.8,0.13969,liquid
108,59,35.864,0.027883,-4.3847,-2.7396,57.929,21.412,39.12,966.27,-0.49461,261.44,0.14023,liquid
108,60,35.913,0.027845,-4.3909,-2.7202,57.85,21.444,39.077,969.49,-0.49594,263.09,0.14077,liquid
108,61,35.962,0.027808,-4.3971,-2.7008,57.772,21.475,39.035,972.68,-0.49723,264.72,0.14131,liquid
108,62,36.009,0.027771,-4.4032,-2.6814,57.694,21.506,38.994,975.84,-0.49849,266.35,0.14184,liquid
108,63,36.057,0.027734,-4.4092,-2.6619,57.618,21.538,38.955,978.98,-0.49972,267.98,0.14237,liquid
108,64,36.104,0.027698,-4.4151,-2.6425,57.541,21.569,38.916,982.09,-0.50092,269.6,0.1429,liquid
108,65,36.151,0.027662,-4.421,-2.623,57.466,21.6,38.878,985.18,-0.50209,271.22,0.14342,liquid
108,66,36.197,0.027627,-4.4268,-2.6034,57.39,21.63,38.842,988.25,-0.50322,272.83,0.14394,liquid
108,67,36.243,0.027592,-4.4325,-2.5839,57.316,21.661,38.806,991.29,-0.50433,274.44,0.14446,liquid
108,68,36.288,0.027557,-4.4382,-2.5643,57.242,21.691,38.771,994.31,-0.50541,276.04,0.14497,liquid
